id,source_file,target_table,portal_id,content_type,status_to_insert,title_ar,title_en,category,sort_order,already_imported,included_in_this_import,exclusion_reason
ai-academy-lesson-advanced-prompting,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-advanced-prompting.md,ai_lessons,ai-academy,lesson,draft,تقنيات التوجيه المتقدمة,Advanced Prompting Techniques,الذكاء الاصطناعي,10,False,True,
ai-academy-lesson-ai-ethics,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-ai-ethics.md,ai_lessons,ai-academy,lesson,draft,الأخلاقيات والذكاء الاصطناعي,Ethics and AI,الذكاء الاصطناعي,20,False,True,
ai-academy-lesson-ai-for-study-2,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-ai-for-study-2.md,ai_lessons,ai-academy,lesson,draft,الذكاء الاصطناعي كمعلمك الخاص,Ai For Study,الذكاء الاصطناعي,150,False,True,
ai-academy-lesson-ai-for-study,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-ai-for-study.md,ai_lessons,ai-academy,lesson,draft,استخدام الذكاء الاصطناعي للدراسة,AI for Study,الذكاء الاصطناعي,30,False,True,
ai-academy-lesson-ai-for-work-2,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-ai-for-work-2.md,ai_lessons,ai-academy,lesson,draft,تعزيز الإنتاجية باستخدام الذكاء الاصطناعي,Ai For Work,الذكاء الاصطناعي,160,False,True,
ai-academy-lesson-ai-for-work,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-ai-for-work.md,ai_lessons,ai-academy,lesson,draft,استخدام الذكاء الاصطناعي للعمل,AI for Work,الذكاء الاصطناعي,40,False,True,
ai-academy-lesson-ai-hallucination,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-ai-hallucination.md,ai_lessons,ai-academy,lesson,draft,هلوسة الذكاء الاصطناعي: عندما تكذب الآلة بثقة,Ai Hallucination,الذكاء الاصطناعي,170,False,True,
ai-academy-lesson-detecting-hallucinations,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-detecting-hallucinations.md,ai_lessons,ai-academy,lesson,draft,اكتشاف الهلوسة,Detecting Hallucinations,الذكاء الاصطناعي,50,False,True,
ai-academy-lesson-evaluating-models,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-evaluating-models.md,ai_lessons,ai-academy,lesson,draft,تقييم النماذج,Evaluating Models,الذكاء الاصطناعي,60,False,True,
ai-academy-lesson-future-of-ai,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-future-of-ai.md,ai_lessons,ai-academy,lesson,draft,مستقبل الذكاء الاصطناعي,Future of AI,الذكاء الاصطناعي,70,False,True,
ai-academy-lesson-how-to-prompt,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-how-to-prompt.md,ai_lessons,ai-academy,lesson,draft,هندسة الأوامر: فن التحدث مع الآلة,How To Prompt,الذكاء الاصطناعي,180,False,True,
ai-academy-lesson-independent-learning,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-independent-learning.md,ai_lessons,ai-academy,lesson,draft,التعلم المستقل مع الذكاء الاصطناعي,Independent Learning with AI,الذكاء الاصطناعي,80,False,True,
ai-academy-lesson-intro-to-ai-2,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-intro-to-ai-2.md,ai_lessons,ai-academy,lesson,draft,مقدمة في الذكاء الاصطناعي,Intro To Ai,الذكاء الاصطناعي,190,False,True,
ai-academy-lesson-intro-to-ai,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-intro-to-ai.md,ai_lessons,ai-academy,lesson,draft,مقدمة في الذكاء الاصطناعي,Introduction to AI,الذكاء الاصطناعي,90,False,True,
ai-academy-lesson-prompt-engineering-basics,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-prompt-engineering-basics.md,ai_lessons,ai-academy,lesson,draft,أساسيات هندسة الأوامر,Prompt Engineering Basics,الذكاء الاصطناعي,100,False,True,
ai-academy-lesson-prompt-libraries,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-prompt-libraries.md,ai_lessons,ai-academy,lesson,draft,بناء مكتبات الأوامر,Building Prompt Libraries,الذكاء الاصطناعي,110,False,True,
ai-academy-lesson-rag-basics,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-rag-basics.md,ai_lessons,ai-academy,lesson,draft,التوليد المعزز بالاسترجاع للمبتدئين,RAG for Beginners,الذكاء الاصطناعي,120,False,True,
ai-academy-lesson-safe-ai,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-safe-ai.md,ai_lessons,ai-academy,lesson,draft,الاستخدام الآمن للذكاء الاصطناعي,Safe Ai,الذكاء الاصطناعي,200,False,True,
ai-academy-lesson-safety-and-security,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-safety-and-security.md,ai_lessons,ai-academy,lesson,draft,أمان وحماية الذكاء الاصطناعي,AI Safety and Security,الذكاء الاصطناعي,130,False,True,
ai-academy-lesson-workflow-automation,content-source/_normalized/ai-academy/lessons/ai-academy-lesson-workflow-automation.md,ai_lessons,ai-academy,lesson,draft,أتمتة سير العمل بالذكاء الاصطناعي,AI Workflow Automation,الذكاء الاصطناعي,140,False,True,
automation-resource-ai-automation-trends,content-source/_normalized/automation/resources/automation-resource-ai-automation-trends.json,automation_resources,automation,resource,draft,مورد AI in Automation Trends,AI in Automation Trends,الأتمتة,40,False,True,
automation-resource-ai-automation,content-source/_normalized/automation/resources/automation-resource-ai-automation.json,automation_resources,automation,resource,draft,الذكاء الاصطناعي في الأتمتة,Ai Automation,الأتمتة,10,False,True,
automation-resource-api-security-best-practices,content-source/_normalized/automation/resources/automation-resource-api-security-best-practices.json,automation_resources,automation,resource,draft,مورد API Security Best Practices,API Security Best Practices,الأتمتة,50,False,True,
automation-resource-apis-beginners,content-source/_normalized/automation/resources/automation-resource-apis-beginners.json,automation_resources,automation,resource,draft,واجهات برمجة التطبيقات للمبتدئين,Apis Beginners,الأتمتة,20,False,True,
automation-resource-automate-io-alt,content-source/_normalized/automation/resources/automation-resource-automate-io-alt.json,automation_resources,automation,resource,draft,بدائل Automate.io,Automate Io Alt,الأتمتة,30,False,True,
automation-resource-automating-business-processes,content-source/_normalized/automation/resources/automation-resource-automating-business-processes.json,automation_resources,automation,resource,draft,مورد Automating Business Processes,Automating Business Processes,الأتمتة,60,False,True,
automation-resource-automation-safety,content-source/_normalized/automation/resources/automation-resource-automation-safety.json,automation_resources,automation,resource,draft,دليل أمان الأتمتة,Automation Safety,الأتمتة,240,False,True,
automation-resource-automation-testing-frameworks,content-source/_normalized/automation/resources/automation-resource-automation-testing-frameworks.json,automation_resources,automation,resource,draft,مورد Automation Testing Frameworks,Automation Testing Frameworks,الأتمتة,70,False,True,
automation-resource-cloud-computing-intro,content-source/_normalized/automation/resources/automation-resource-cloud-computing-intro.json,automation_resources,automation,resource,draft,مورد Introduction to Cloud Computing,Introduction to Cloud Computing,الأتمتة,80,False,True,
automation-resource-cron-job-syntax,content-source/_normalized/automation/resources/automation-resource-cron-job-syntax.json,automation_resources,automation,resource,draft,مورد Cron Job Syntax Guide,Cron Job Syntax Guide,الأتمتة,90,False,True,
automation-resource-data-mapping-basics,content-source/_normalized/automation/resources/automation-resource-data-mapping-basics.json,automation_resources,automation,resource,draft,مورد Data Mapping Basics,Data Mapping Basics,الأتمتة,100,False,True,
automation-resource-error-handling-best-practices,content-source/_normalized/automation/resources/automation-resource-error-handling-best-practices.json,automation_resources,automation,resource,draft,مورد Error Handling Best Practices,Error Handling Best Practices,الأتمتة,110,False,True,
automation-resource-gas-guide-2,content-source/_normalized/automation/resources/automation-resource-gas-guide-2.json,automation_resources,automation,resource,draft,أدلة Google Apps Script,Gas Guide,الأتمتة,250,False,True,
automation-resource-gas-guide,content-source/_normalized/automation/resources/automation-resource-gas-guide.json,automation_resources,automation,resource,draft,مورد Google Apps Script Guide,Google Apps Script Guide,الأتمتة,120,False,True,
automation-resource-http-status-codes,content-source/_normalized/automation/resources/automation-resource-http-status-codes.json,automation_resources,automation,resource,draft,مورد HTTP Status Codes Directory,HTTP Status Codes Directory,الأتمتة,130,False,True,
automation-resource-json-guide,content-source/_normalized/automation/resources/automation-resource-json-guide.json,automation_resources,automation,resource,draft,مورد JSON Guide,JSON Guide,الأتمتة,140,False,True,
automation-resource-make-academy-2,content-source/_normalized/automation/resources/automation-resource-make-academy-2.json,automation_resources,automation,resource,draft,أكاديمية Make,Make Academy,الأتمتة,260,False,True,
automation-resource-make-academy,content-source/_normalized/automation/resources/automation-resource-make-academy.json,automation_resources,automation,resource,draft,مورد Make.com Academy,Make.com Academy,الأتمتة,150,False,True,
automation-resource-n8n-docs,content-source/_normalized/automation/resources/automation-resource-n8n-docs.json,automation_resources,automation,resource,draft,وثائق n8n,N8N Docs,الأتمتة,270,False,True,
automation-resource-n8n-documentation,content-source/_normalized/automation/resources/automation-resource-n8n-documentation.json,automation_resources,automation,resource,draft,مورد n8n Documentation,n8n Documentation,الأتمتة,160,False,True,
automation-resource-oauth2-simplified,content-source/_normalized/automation/resources/automation-resource-oauth2-simplified.json,automation_resources,automation,resource,draft,مورد OAuth 2.0 Simplified,OAuth 2.0 Simplified,الأتمتة,170,False,True,
automation-resource-power-automate-docs,content-source/_normalized/automation/resources/automation-resource-power-automate-docs.json,automation_resources,automation,resource,draft,مورد Microsoft Power Automate Docs,Microsoft Power Automate Docs,الأتمتة,180,False,True,
automation-resource-power-automate-learn,content-source/_normalized/automation/resources/automation-resource-power-automate-learn.json,automation_resources,automation,resource,draft,تعلم Power Automate,Power Automate Learn,الأتمتة,280,False,True,
automation-resource-regex-data-extraction,content-source/_normalized/automation/resources/automation-resource-regex-data-extraction.json,automation_resources,automation,resource,draft,مورد Regex for Data Extraction,Regex for Data Extraction,الأتمتة,190,False,True,
automation-resource-rest-api-tutorial,content-source/_normalized/automation/resources/automation-resource-rest-api-tutorial.json,automation_resources,automation,resource,draft,مورد REST API Tutorial,REST API Tutorial,الأتمتة,200,False,True,
automation-resource-retry-policies-guide,content-source/_normalized/automation/resources/automation-resource-retry-policies-guide.json,automation_resources,automation,resource,draft,مورد Retry Policies Guide,Retry Policies Guide,الأتمتة,210,False,True,
automation-resource-webhooks-explained-2,content-source/_normalized/automation/resources/automation-resource-webhooks-explained-2.json,automation_resources,automation,resource,draft,شرح خطافات الويب,Webhooks Explained,الأتمتة,290,False,True,
automation-resource-webhooks-explained,content-source/_normalized/automation/resources/automation-resource-webhooks-explained.json,automation_resources,automation,resource,draft,مورد Webhooks Explained,Webhooks Explained,الأتمتة,220,False,True,
automation-resource-zapier-blog,content-source/_normalized/automation/resources/automation-resource-zapier-blog.json,automation_resources,automation,resource,draft,مدونة Zapier,Zapier Blog,الأتمتة,300,False,True,
automation-resource-zapier-university,content-source/_normalized/automation/resources/automation-resource-zapier-university.json,automation_resources,automation,resource,draft,مورد Zapier University,Zapier University,الأتمتة,230,False,True,
automation-lesson-ai-automation-intro,content-source/_normalized/automation/lessons/automation-lesson-ai-automation-intro.md,automation_lessons,automation,lesson,draft,الأتمتة المدعومة بالذكاء الاصطناعي,Ai Automation Intro,الأتمتة,10,False,True,
automation-lesson-ai-in-automation,content-source/_normalized/automation/lessons/automation-lesson-ai-in-automation.md,automation_lessons,automation,lesson,draft,دمج الذكاء الاصطناعي لتطوير الأتمتة,Integrating AI in Automation,الأتمتة,20,False,True,
automation-lesson-api-basics-automation,content-source/_normalized/automation/lessons/automation-lesson-api-basics-automation.md,automation_lessons,automation,lesson,draft,أساسيات واجهات برمجة التطبيقات للأتمتة,API Basics for Automation,الأتمتة,30,False,True,
automation-lesson-automation-documentation-testing,content-source/_normalized/automation/lessons/automation-lesson-automation-documentation-testing.md,automation_lessons,automation,lesson,draft,توثيق واختبار عمليات الأتمتة,Documentation and Testing Automation,الأتمتة,40,False,True,
automation-lesson-automation-security-data-privacy,content-source/_normalized/automation/lessons/automation-lesson-automation-security-data-privacy.md,automation_lessons,automation,lesson,draft,أمان الأتمتة وحماية البيانات,Automation Security and Data Privacy,الأتمتة,50,False,True,
automation-lesson-bpa-case-study,content-source/_normalized/automation/lessons/automation-lesson-bpa-case-study.md,automation_lessons,automation,lesson,draft,أتمتة العمليات التجارية: دراسة حالة,Business Process Automation: Case Study,الأتمتة,60,False,True,
automation-lesson-building-approval-workflow,content-source/_normalized/automation/lessons/automation-lesson-building-approval-workflow.md,automation_lessons,automation,lesson,draft,بناء سير عمل موافقات,Building an Approval Workflow,الأتمتة,70,False,True,
automation-lesson-data-mapping-between-apps,content-source/_normalized/automation/lessons/automation-lesson-data-mapping-between-apps.md,automation_lessons,automation,lesson,draft,تخطيط البيانات بين التطبيقات,Data Mapping Between Apps,الأتمتة,80,False,True,
automation-lesson-error-handling-automation,content-source/_normalized/automation/lessons/automation-lesson-error-handling-automation.md,automation_lessons,automation,lesson,draft,معالجة الأخطاء في الأتمتة,Error Handling in Automation,الأتمتة,90,False,True,
automation-lesson-error-handling,content-source/_normalized/automation/lessons/automation-lesson-error-handling.md,automation_lessons,automation,lesson,draft,التعامل مع الأخطاء في الأتمتة,Error Handling,الأتمتة,160,False,True,
automation-lesson-intro-automation-thinking,content-source/_normalized/automation/lessons/automation-lesson-intro-automation-thinking.md,automation_lessons,automation,lesson,draft,مقدمة في التفكير الأتمتي,Intro to Automation Thinking,الأتمتة,100,False,True,
automation-lesson-intro-automation,content-source/_normalized/automation/lessons/automation-lesson-intro-automation.md,automation_lessons,automation,lesson,draft,مقدمة في أتمتة سير العمل,Intro Automation,الأتمتة,170,False,True,
automation-lesson-intro-google-apps-script,content-source/_normalized/automation/lessons/automation-lesson-intro-google-apps-script.md,automation_lessons,automation,lesson,draft,مدخل إلى برمجة تطبيقات جوجل,Intro to Google Apps Script,الأتمتة,110,False,True,
automation-lesson-make-zapier-n8n-comparison,content-source/_normalized/automation/lessons/automation-lesson-make-zapier-n8n-comparison.md,automation_lessons,automation,lesson,draft,مقارنة بين Make و Zapier و n8n,Make vs Zapier vs n8n Comparison,الأتمتة,120,False,True,
automation-lesson-retries-and-fallbacks,content-source/_normalized/automation/lessons/automation-lesson-retries-and-fallbacks.md,automation_lessons,automation,lesson,draft,استراتيجيات إعادة المحاولة والخطط البديلة,Retries and Fallbacks,الأتمتة,130,False,True,
automation-lesson-triggers-actions,content-source/_normalized/automation/lessons/automation-lesson-triggers-actions.md,automation_lessons,automation,lesson,draft,فهم المحفزات والإجراءات,Triggers Actions,الأتمتة,180,False,True,
automation-lesson-understanding-triggers-actions,content-source/_normalized/automation/lessons/automation-lesson-understanding-triggers-actions.md,automation_lessons,automation,lesson,draft,فهم المحفزات والإجراءات,Understanding Triggers and Actions,الأتمتة,140,False,True,
automation-lesson-webhooks-explained,content-source/_normalized/automation/lessons/automation-lesson-webhooks-explained.md,automation_lessons,automation,lesson,draft,ما هو الويب هوك وكيف يعمل؟,What is a Webhook and How it Works?,الأتمتة,150,False,True,
automation-lesson-webhooks-integration,content-source/_normalized/automation/lessons/automation-lesson-webhooks-integration.md,automation_lessons,automation,lesson,draft,ربط التطبيقات باستخدام خطافات الويب,Webhooks Integration,الأتمتة,190,False,True,
automation-lesson-zapier-vs-make,content-source/_normalized/automation/lessons/automation-lesson-zapier-vs-make.md,automation_lessons,automation,lesson,draft,مقدمة إلى Zapier و Make,Zapier Vs Make,الأتمتة,200,False,True,
career-glossary-ai-tools,content-source/_normalized/career/glossary/career-glossary-ai-tools.json,career_glossary,career,glossary,draft,أدوات الذكاء الاصطناعي,Ai Tools,المسار المهني,10,True,False,Already imported in persistent pilot
career-glossary-ats-2,content-source/_normalized/career/glossary/career-glossary-ats-2.json,career_glossary,career,glossary,draft,أنظمة تتبع المتقدمين (ATS),ATS,المسار المهني,30,True,False,Already imported in persistent pilot
career-glossary-ats,content-source/_normalized/career/glossary/career-glossary-ats.json,career_glossary,career,glossary,draft,نظام تتبع المتقدمين,Ats,المسار المهني,20,True,False,Already imported in persistent pilot
career-glossary-burnout,content-source/_normalized/career/glossary/career-glossary-burnout.json,career_glossary,career,glossary,draft,الاحتراق الوظيفي,,المسار المهني,40,True,False,Already imported in persistent pilot
career-glossary-career-shift-2,content-source/_normalized/career/glossary/career-glossary-career-shift-2.json,career_glossary,career,glossary,draft,تغيير المسار المهني,Career Shift,المسار المهني,330,True,False,Already imported in persistent pilot
career-glossary-career-shift,content-source/_normalized/career/glossary/career-glossary-career-shift.json,career_glossary,career,glossary,draft,التحول المهني,,المسار المهني,50,True,False,Already imported in persistent pilot
career-glossary-cover-letter-2,content-source/_normalized/career/glossary/career-glossary-cover-letter-2.json,career_glossary,career,glossary,draft,خطاب المقدمة,Cover Letter,المسار المهني,340,True,False,Already imported in persistent pilot
career-glossary-cover-letter,content-source/_normalized/career/glossary/career-glossary-cover-letter.json,career_glossary,career,glossary,draft,خطاب المقدمة,,المسار المهني,60,True,False,Already imported in persistent pilot
career-glossary-culture-fit,content-source/_normalized/career/glossary/career-glossary-culture-fit.json,career_glossary,career,glossary,draft,الملاءمة الثقافية,,المسار المهني,70,True,False,Already imported in persistent pilot
career-glossary-cv-optimization,content-source/_normalized/career/glossary/career-glossary-cv-optimization.json,career_glossary,career,glossary,draft,تحسين السيرة الذاتية,,المسار المهني,80,True,False,Already imported in persistent pilot
career-glossary-cv,content-source/_normalized/career/glossary/career-glossary-cv.json,career_glossary,career,glossary,draft,السيرة الذاتية,Cv,المسار المهني,350,False,True,
career-glossary-elevator-pitch-2,content-source/_normalized/career/glossary/career-glossary-elevator-pitch-2.json,career_glossary,career,glossary,draft,الخطاب الموجز,Elevator Pitch,المسار المهني,360,False,True,
career-glossary-elevator-pitch,content-source/_normalized/career/glossary/career-glossary-elevator-pitch.json,career_glossary,career,glossary,draft,العرض التعريفي السريع,,المسار المهني,90,False,True,
career-glossary-freelance,content-source/_normalized/career/glossary/career-glossary-freelance.json,career_glossary,career,glossary,draft,العمل الحر,Freelance,المسار المهني,370,False,True,
career-glossary-gig-economy,content-source/_normalized/career/glossary/career-glossary-gig-economy.json,career_glossary,career,glossary,draft,اقتصاد العمل الحر,,المسار المهني,100,False,True,
career-glossary-hard-skills-2,content-source/_normalized/career/glossary/career-glossary-hard-skills-2.json,career_glossary,career,glossary,draft,المهارات الصلبة,Hard Skills,المسار المهني,380,False,True,
career-glossary-hard-skills,content-source/_normalized/career/glossary/career-glossary-hard-skills.json,career_glossary,career,glossary,draft,المهارات التقنية (الصلبة),,المسار المهني,110,False,True,
career-glossary-imposter-syndrome,content-source/_normalized/career/glossary/career-glossary-imposter-syndrome.json,career_glossary,career,glossary,draft,متلازمة المحتال,,المسار المهني,120,False,True,
career-glossary-informational-interview,content-source/_normalized/career/glossary/career-glossary-informational-interview.json,career_glossary,career,glossary,draft,المقابلة الاستكشافية,,المسار المهني,130,False,True,
career-glossary-internship,content-source/_normalized/career/glossary/career-glossary-internship.json,career_glossary,career,glossary,draft,التدريب المهني,Internship,المسار المهني,390,False,True,
career-glossary-interview,content-source/_normalized/career/glossary/career-glossary-interview.json,career_glossary,career,glossary,draft,المقابلة الشخصية,Interview,المسار المهني,400,False,True,
career-glossary-job-description-2,content-source/_normalized/career/glossary/career-glossary-job-description-2.json,career_glossary,career,glossary,draft,الوصف الوظيفي,Job Description,المسار المهني,410,False,True,
career-glossary-job-description,content-source/_normalized/career/glossary/career-glossary-job-description.json,career_glossary,career,glossary,draft,الوصف الوظيفي,,المسار المهني,140,False,True,
career-glossary-job-search-strategy,content-source/_normalized/career/glossary/career-glossary-job-search-strategy.json,career_glossary,career,glossary,draft,استراتيجية البحث عن عمل,,المسار المهني,150,False,True,
career-glossary-linkedin-optimization,content-source/_normalized/career/glossary/career-glossary-linkedin-optimization.json,career_glossary,career,glossary,draft,تحسين حساب لينكد إن,,المسار المهني,160,False,True,
career-glossary-linkedin,content-source/_normalized/career/glossary/career-glossary-linkedin.json,career_glossary,career,glossary,draft,لينكد إن,Linkedin,المسار المهني,420,False,True,
career-glossary-mentorship-2,content-source/_normalized/career/glossary/career-glossary-mentorship-2.json,career_glossary,career,glossary,draft,الإرشاد المهني,Mentorship,المسار المهني,430,False,True,
career-glossary-mentorship,content-source/_normalized/career/glossary/career-glossary-mentorship.json,career_glossary,career,glossary,draft,التوجيه المهني (المنترشيب),,المسار المهني,170,False,True,
career-glossary-mock-interview,content-source/_normalized/career/glossary/career-glossary-mock-interview.json,career_glossary,career,glossary,draft,المقابلة التجريبية,,المسار المهني,180,False,True,
career-glossary-negotiation,content-source/_normalized/career/glossary/career-glossary-negotiation.json,career_glossary,career,glossary,draft,التفاوض,Negotiation,المسار المهني,440,False,True,
career-glossary-networking-2,content-source/_normalized/career/glossary/career-glossary-networking-2.json,career_glossary,career,glossary,draft,التشبيك,Networking,المسار المهني,450,False,True,
career-glossary-networking,content-source/_normalized/career/glossary/career-glossary-networking.json,career_glossary,career,glossary,draft,بناء العلاقات المهنية,,المسار المهني,190,False,True,
career-glossary-onboarding,content-source/_normalized/career/glossary/career-glossary-onboarding.json,career_glossary,career,glossary,draft,التهيئة الوظيفية,,المسار المهني,200,False,True,
career-glossary-personal-branding-2,content-source/_normalized/career/glossary/career-glossary-personal-branding-2.json,career_glossary,career,glossary,draft,العلامة التجارية الشخصية,Personal Branding,المسار المهني,460,False,True,
